ActivityKey,Type
102639,Course
110299,Course
120509,Course
124659,Course
161379,Course
176879,Course
19666,Assessment
856,Assessment
18336,Assessment
35996,Certification
187229,Course
188969,Course
31252,Track
11192,Track
7306,Certification
22826,Assessment
1786,Assessment
19686,Assessment
398,Exam
48298,Exam
42938,Exam
39778,Exam
25536,Certification
256,Exam
14596,Certification
35796,Exam
13582,Track
41448,Exam
43118,Exam
102769,Course
108139,Course
122779,Course
122989,Course
168879,Course
173399,Course
19816,Assessment
886,Assessment
18366,Assessment
36016,Exam
183439,Course
187489,Course
5792,Track
9032,Track
7576,Assessment
22846,Assessment
1806,Assessment
19736,Assessment
28312,Track
44728,Exam
38668,Exam
50808,Exam
25576,Certification
326,Exam
14646,Exam
35816,Certification
11572,Track
40038,Exam
28862,Track
102759,Course
108769,Course
122839,Course
125909,Course
167209,Course
175809,Course
19866,Assessment
1036,Assessment
18376,Assessment
36236,Exam
186619,Course
188389,Course
12802,Track
14342,Track
7606,Assessment
22856,Assessment
1836,Assessment
19956,Assessment
45828,Exam
86648,Exam
51138,Exam
1552,Track
25586,Certification
336,Exam
14826,Assessment
35856,Certification
86388,Exam
26282,Track
50578,Exam
104339,Course
107929,Course
120359,Course
138249,Course
160119,Course
175389,Course
19876,Assessment
1056,Assessment
18566,Assessment
36276,Exam
186429,Course
189419,Course
86018,Exam
27712,Track
7616,Assessment
22876,Assessment
2156,Assessment
19996,Assessment
47418,Exam
50948,Exam
5482,Track
29602,Track
25706,Certification
466,Exam
15076,Certification
35916,Certification
2572,Track
11432,Track
49058,Exam
104179,Course
114689,Course
122149,Course
123599,Course
169929,Course
173839,Course
19936,Assessment
1136,Assessment
18656,Assessment
36356,Certification
184949,Course
188439,Course
9072,Track
27122,Track
7756,Assessment
25626,Certification
2296,Assessment
20256,Assessment
2282,Track
45018,Exam
6542,Track
44248,Exam
25756,Certification
506,Exam
15096,Certification
36006,Exam
30232,Track
12862,Track
15702,Track
100859,Course
112709,Course
119309,Course
126759,Course
147199,Course
175779,Course
19986,Assessment
1156,Assessment
18756,Assessment
36386,Exam
186499,Course
189279,Course
10792,Track
42528,Exam
7876,Assessment
25646,Certification
2306,Assessment
20276,Assessment
1952,Track
52618,Exam
8742,Track
51768,Exam
25786,Certification
556,Exam
15326,Assessment
36096,Certification
85788,Exam
12442,Track
40088,Exam
103359,Course
108489,Course
123239,Course
137489,Course
168349,Course
172769,Course
20016,Assessment
1346,Assessment
18806,Assessment
36406,Certification
181299,Course
189179,Course
6842,Track
10362,Track
7916,Certification
25666,Certification
2336,Assessment
20366,Assessment
872,Track
52848,Exam
28172,Track
2082,Track
25876,Certification
586,Exam
15506,Assessment
36196,Exam
1962,Track
10712,Track
41648,Exam
104619,Course
110379,Course
123569,Course
124289,Course
170019,Course
175349,Course
20046,Assessment
1386,Assessment
18816,Assessment
36426,Certification
185899,Course
188879,Course
31842,Track
30902,Track
7996,Assessment
25716,Certification
2376,Assessment
20386,Assessment
5532,Track
28872,Track
52128,Exam
45098,Exam
25916,Certification
646,Exam
15546,Assessment
36266,Exam
27542,Track
4622,Track
15892,Track
102709,Course
110409,Course
120529,Course
124809,Course
162359,Course
177189,Course
20306,Assessment
1416,Certification
18886,Assessment
36536,Exam
187239,Course
188989,Course
31432,Track
12372,Track
8006,Assessment
25946,Certification
2396,Certification
20436,Assessment
718,Exam
272,Track
43438,Exam
30042,Track
26046,Certification
676,Certification
15566,Assessment
36316,Certification
13762,Track
43278,Exam
43288,Exam
103409,Course
108209,Course
123009,Course
123159,Course
169239,Course
173419,Course
20516,Assessment
1476,Certification
18966,Assessment
36576,Exam
186099,Course
187639,Course
6132,Track
10422,Track
8036,Assessment
25986,Certification
2466,Certification
20456,Assessment
218,Exam
44868,Exam
38808,Exam
50828,Exam
26086,Certification
806,Assessment
15666,Assessment
36446,Certification
11892,Track
41858,Exam
28882,Track
104269,Course
109449,Course
122949,Course
125919,Course
167389,Course
175829,Course
20586,Assessment
1516,Certification
19156,Assessment
36676,Exam
186849,Course
188399,Course
12972,Track
14512,Track
8076,Assessment
26096,Certification
2666,Certification
20566,Assessment
46828,Exam
86678,Exam
51838,Exam
2222,Track
26276,Certification
916,Certification
15726,Assessment
36466,Certification
38,Exam
29612,Track
85848,Exam
104829,Course
107949,Course
120499,Course
138259,Course
160689,Course
175819,Course
