CustomerKey,Workload,PartnerOneKey,Consumption
677621078,BIZAPP,1022389,6.87
676954032,BIZAPP,1021608,52.42
677620575,MODWRK,1118995,3265.72
683841861,AZURE,4655346,5129.21
676953047,AZURE,5400562,10785951.9
683173853,BIZAPP,1416163,308.79
683864722,BIZAPP,1016027,0
683841742,AZURE,4640959,84961.76
676952831,AZURE,4504602,185399.64
676969667,AZURE,1018747,580276.1
677040214,AZURE,1091405,4962.5
683841789,MODWRK,1018856,1059.61
677621596,AZURE,3071686,20850.49
677010915,MODWRK,5312476,3946.77
677072812,AZURE,4665790,182225.85
677001430,MODWRK,1116376,3393.22
677620397,AZURE,1121211,255465.43
676991427,AZURE,2827011,43102.09
677049325,MODWRK,3447433,25931.28
676983375,AZURE,6016266,136255.26
676953346,AZURE,3469323,152492.41
676952585,AZURE,1982107,402866.49
676978777,BIZAPP,1019922,128.3
676954000,MODWRK,2208455,18969.97
677048098,MODWRK,1178396,0
677062712,AZURE,3205,84725.66
677004478,BIZAPP,3285645,303.15
683844383,MODWRK,1063442,6444.26
677029979,MODWRK,1021570,2916.98
677620397,MODWRK,1258724,19.8
677620634,MODWRK,1023126,912.08
683958397,MODWRK,3327196,15.61
677018435,MODWRK,3954149,312.9
676996033,MODWRK,1023900,1038.76
676991459,AZURE,1104812,15581.72
677024767,AZURE,1225199,168434.41
683861285,MODWRK,1129016,780.45
676953047,MODWRK,4822476,67598.64
677033731,MODWRK,1022177,4022.91
676971052,MODWRK,1137058,2677.94
677023761,MODWRK,4509656,1103.06
676962223,MODWRK,4862115,318.36
677936056,AZURE,4442651,294168.61
676964773,BIZAPP,4463663,2.92
676964417,MODWRK,2370171,8192.08
677062712,MODWRK,1015394,1730.66
677620857,MODWRK,1047934,2583.04
676952963,AZURE,3963258,678344.89
677048010,AZURE,1123245,3127483.39
683841789,BIZAPP,1116670,357.78
676955870,AZURE,4360674,9548650.06
676962986,MODWRK,2823963,1388.84
676953838,MODWRK,4717518,2026.86
677033731,AZURE,1313699,1011346.06
677063554,AZURE,6125665,17355.29
676953200,MODWRK,1018532,48029.17
677028858,AZURE,1359050,65050.39
677068120,MODWRK,3920564,2820.02
677004105,AZURE,1063651,32820.67
676952831,MODWRK,2737031,841.87
676953103,AZURE,4581355,1096205.91
677621807,MODWRK,3990855,2962.36
683912653,AZURE,4684006,138494.3
676978777,AZURE,5177991,1848674.02
676953346,BIZAPP,1166415,3.95
677621720,AZURE,4797548,6125.77
683864019,BIZAPP,3323934,413.23
677621419,AZURE,5319567,14905.5
676964773,AZURE,4504602,43292.91
676962917,MODWRK,2251467,11771.23
677651991,BIZAPP,4743634,574.6
683841789,AZURE,1018856,144409.61
683844383,AZURE,3071686,42389.77
677621078,AZURE,4210355,17584.92
677016958,MODWRK,1098601,4245.78
677043367,AZURE,1134874,34441836.91
683910123,MODWRK,1121211,361.75
676953034,AZURE,5330362,582672.65
676959931,MODWRK,3447433,29556.24
677039044,MODWRK,3376917,1432.42
677024860,AZURE,6080496,373903.16
676980414,AZURE,1982107,41270.26
677006783,AZURE,4774556,88336.45
683841894,AZURE,1116756,1397.31
677008267,MODWRK,1169484,1552.98
676955853,MODWRK,6375084,6099.65
683861285,AZURE,-102336,322827.4
677004105,BIZAPP,3140991,25
676966625,MODWRK,1021570,3923.94
676952766,BIZAPP,5451148,4.88
683895544,MODWRK,1023126,330.21
683870509,AZURE,1626678,628779.91
676953034,MODWRK,1890954,55210.79
