CustomerKey,PartnerKey,SolutionKey,SolutionAreaKey,DealTypeKey,FiscalMonthID
659245064,1121211,52543,29,2032971839,383
676953670,4505120,35742,36,2032971839,357
677621405,1104812,17546,32,182166826,360
677027244,-4235,5885,0,182166826,387
683845184,1020691,86100,32,182166826,390
676952625,5303141,23196,0,793528984,379
676952788,4505120,7773,1,182166826,373
683173850,5107759,907,0,2032971839,363
683173850,5107759,907,0,2032971839,363
676982180,1047415,106474,0,182166826,372
676955872,1947953,11554,0,2032971839,355
677024792,1104812,17546,32,182166826,360
676952831,1104812,17546,32,182166826,369
676952647,1104812,17546,32,182166826,362
680009083,1104812,17546,32,182166826,378
676955876,1104812,17546,32,182166826,371
677058746,1104812,17546,32,182166826,375
676964771,1104812,17546,32,182166826,383
676958506,1104812,17546,32,182166826,375
676955136,4505120,29236,45,182166826,384
676980406,1104812,17546,32,793528984,385
676997446,1104812,17546,32,793528984,389
677017035,1104812,17546,32,2032971839,365
676953279,1104812,17546,32,2032971839,370
676952771,1157156,25970,11,793528984,392
677009763,1104812,17546,32,2032971839,371
676951447,1104812,17546,32,182166826,356
676962176,1104812,17546,44,2032971839,354
683174073,1047415,26211,62,2032971839,381
677032225,4813611,21533,62,2032971839,382
676952688,1432842,6762,26,793528984,369
676955876,5453390,21356,0,2032971839,380
677015808,4210355,9899,79,182166826,367
676953967,4864219,13770,74,2032971839,351
683843841,4838299,133492,27,182166826,375
677028418,1104812,17546,44,182166826,362
683855150,1164592,32156,32,2032971839,384
677024172,4864219,129342,148,182166826,389
676958646,1104812,17546,44,182166826,384
676956624,1104812,17546,44,182166826,382
676981618,1104812,17546,44,182166826,361
677033212,1104812,17546,44,182166826,370
676952688,1432842,6762,26,793528984,366
683173963,2875779,36541,0,2032971839,378
676953020,2875779,36541,0,182166826,359
676998846,2875779,36541,0,182166826,368
676964986,1021608,3061,100,2032971839,362
677063175,2875779,36541,0,182166826,364
676960375,1135225,128964,0,182166826,390
683173914,1104812,17546,44,793528984,376
676996710,1104812,17546,44,793528984,391
683852257,1104812,17546,44,793528984,381
676954115,4922182,31147,32,2032971839,365
676952957,1104812,17546,32,793528984,385
677029715,1104812,17546,32,793528984,387
676972446,1104812,17546,32,793528984,387
677028858,1104812,17546,32,793528984,387
676956053,1104812,17546,32,793528984,385
676954843,1104812,17546,32,793528984,377
676953076,1104812,17546,32,793528984,383
