SolutionKey,OfferReadiness,OfferStatus,OfferType,IsAvailableInAppSource,IsAvailableInMarketplace,IsTransactableInMarketplace,IsISVConnectSolution,IsIncentiveEligible
160,2,N/A,2147483647,No,No,No,No,No
3,3,Live,819786134,No,Yes,No,No,Yes
177,2,Not Live,152591786,No,No,No,No,No
29,3,Not Live,819786134,Yes,Yes,No,No,Yes
313,3,N/A,2147483647,No,No,No,No,No
31,2,Live,819786134,Yes,Yes,No,No,Yes
314,3,Not Live,152591786,No,No,No,Yes,No
41,2,Live,1388461353,Yes,No,No,Yes,Yes
327,2,Live,819786134,Yes,Yes,No,No,No
49,3,Live,819786134,Yes,No,No,No,Yes
334,2,Live,152591786,Yes,No,No,No,No
51,3,Live,819786134,Yes,Yes,No,No,Yes
360,2,Live,152591786,No,Yes,No,No,No
56,2,Live,819786134,Yes,No,No,No,Yes
511,2,N/A,2147483647,No,No,No,No,No
94,2,Live,1430932346,Yes,No,No,Yes,Yes
558,3,N/A,152591786,No,No,No,No,No
106,2,N/A,2147483647,No,No,No,No,Yes
597,2,N/A,152591786,No,No,No,No,No
146,3,Live,819786134,Yes,No,No,No,Yes
608,2,N/A,2147483647,No,No,No,No,No
174,2,Not Live,689991860,No,Yes,No,No,Yes
724,3,N/A,2147483647,No,No,No,No,No
198,2,Not Live,819786134,Yes,Yes,No,No,Yes
742,3,Not Live,152591786,No,No,No,No,No
200,2,Live,1852531623,No,Yes,No,No,Yes
749,2,Live,819786134,No,Yes,No,No,No
270,2,Live,819786134,Yes,No,No,No,Yes
808,2,Live,1067095740,Yes,No,No,No,No
301,3,Live,819786134,No,Yes,No,No,Yes
900,3,Not Live,1430932346,No,No,No,Yes,No
323,2,Live,819786134,Yes,Yes,No,No,Yes
921,3,N/A,152591786,No,No,No,No,No
439,3,Not Live,819786134,Yes,Yes,No,No,Yes
986,3,N/A,2147483647,No,No,No,No,No
472,3,Live,819786134,Yes,No,No,No,Yes
1045,3,N/A,2147483647,No,No,No,No,No
473,2,Live,1852531623,No,Yes,No,No,Yes
1050,2,Live,819786134,Yes,No,No,No,No
524,3,Not Live,819786134,Yes,No,No,No,Yes
1090,3,N/A,2147483647,No,No,No,No,No
578,2,Not Live,304495831,No,Yes,No,No,Yes
1140,3,N/A,2147483647,No,No,No,No,No
585,2,Not Live,1852531623,No,Yes,No,No,Yes
1200,2,N/A,152591786,No,No,No,No,No
637,2,Not Live,819786134,Yes,Yes,No,No,Yes
1206,3,Live,152591786,Yes,No,No,No,No
643,2,Live,819786134,Yes,Yes,No,No,Yes
1212,3,Not Live,1388461353,No,No,No,Yes,No
679,2,Not Live,819786134,No,Yes,No,No,Yes
1222,2,Live,819786134,No,Yes,No,No,No
717,3,Live,819786134,No,Yes,Yes,No,Yes
1301,3,Live,152591786,Yes,No,No,No,No
771,2,Live,1388461353,Yes,No,No,Yes,Yes
