SolutionKey,SolutionAreaKey
27128,61
150010,167
3025,178
119179,0
37778,84
142705,136
40481,11
147819,139
19366,120
149937,162
110675,178
127739,136
116667,0
136758,185
150798,121
117136,156
116146,139
6903,156
116293,136
146171,167
115788,148
128253,163
141395,134
119273,182
38072,32
150010,121
6506,64
114927,112
106945,0
116896,133
118015,131
116880,168
149010,155
149257,135
142880,144
41076,156
137508,133
134868,139
128123,118
36228,136
121680,156
40773,31
26897,0
5947,74
149947,157
136124,139
143669,162
149663,112
143997,168
125630,121
119748,185
33386,156
119260,26
108239,129
143888,131
119765,137
115274,121
27519,0
135335,121
107602,45
148577,154
111374,162
146952,164
4571,147
126761,165
120542,155
138209,168
147172,166
141684,116
148293,155
17317,137
115884,135
34829,164
136780,134
147918,181
114508,162
111915,136
33390,135
24868,130
6955,153
119754,155
33719,5
19868,147
17417,166
17209,27
116854,131
138935,116
116784,181
30881,129
3677,71
105498,165
135790,163
120925,133
12625,62
1929,162
139054,162
143397,149
151778,143
109194,87
131709,166
121755,135
26281,185
145358,163
145282,166
108745,121
30775,147
117737,162
67997,0
122486,80
23109,162
34073,17
20948,121
21290,147
21471,156
109226,77
142425,162
131758,62
51,162
31297,118
151450,137
150331,139
121738,0
116949,131
33531,162
22577,44
148034,129
147917,177
121602,185
151673,8
12597,80
112721,0
38555,162
135304,118
9536,133
131958,137
142580,120
149196,116
133745,162
151060,185
149099,185
33208,156
145441,163
27736,133
103621,0
104639,11
138422,136
121173,163
133867,0
145618,130
108882,0
1006,134
146321,156
147027,160
34132,171
138852,162
143012,180
147650,147
135873,180
117194,0
107310,131
15614,162
19343,184
149807,177
143177,147
117443,137
116132,165
119942,136
14870,184
120163,139
2972,11
115867,0
149676,162
149399,166
115640,147
123646,122
149633,33
11173,0
67215,79
111225,177
7204,167
131772,116
36630,134
23230,139
114694,0
147481,155
130660,136
148730,181
150343,185
121998,136
141752,155
133135,162
136036,156
18524,58
3406,168
138935,162
140896,162
114911,147
28565,162
131367,0
134258,185
23561,0
113989,0
35783,149
19232,156
119983,134
120120,136
17976,156
69542,165
143271,160
140935,0
73938,181
133469,121
145404,144
21509,162
146253,163
24646,17
122128,121
131918,0
119955,0
25471,127
3218,156
20948,181
24845,8
132406,159
144693,160
121536,120
109434,139
12024,162
122762,164
122244,112
139820,121
133302,120
108303,63
15220,45
150010,184
6689,64
16121,32
133273,134
3363,133
133470,168
111213,131
142080,161
31297,181
1510,0
17054,26
115301,162
140252,118
29953,118
137874,162
10868,162
135381,119
147937,155
124401,162
41708,168
24238,112
14945,11
140934,139
117312,165
18860,131
14905,149
134258,168
110867,29
25471,64
147896,183
133703,177
136067,162
36432,156
119691,162
2013,14
34829,147
125813,121
118184,137
116161,11
111927,139
116418,155
134459,121
147019,33
135362,162
9739,0
148806,135
12592,177
121652,131
37081,11
120944,139
132166,136
147016,144
21377,17
40766,11
135053,156
139620,0
132009,147
3859,130
112775,168
143840,162
118758,62
113275,147
108388,160
111030,148
135409,130
135039,139
134653,163
127383,136
122762,118
15135,120
120023,162
144534,160
145642,119
110957,17
119807,156
119048,134
142582,168
10278,0
126109,166
105565,137
40913,134
119606,137
118089,140
36541,147
4612,162
29484,165
144960,144
115156,139
134364,121
121021,0
18797,118
146563,153
143464,121
133683,136
108372,181
12393,0
135790,120
141926,130
121092,134
40931,147
141116,181
107706,162
11510,163
108577,162
131376,134
140564,162
15005,135
140657,0
20472,5
69542,168
1359,130
120631,168
896,156
22076,1
133617,185
131005,137
149577,163
147065,163
143973,185
141163,129
103892,135
61384,121
143232,133
147918,118
126513,155
41712,144
21468,58
