SolutionAreaKey,Workload
90,MODWRK
80,MODWRK
93,MODWRK
136,BIZAPP
17,AZURE
38,AZURE
139,MODWRK
69,BIZAPP
149,AZURE
113,AZURE
140,MODWRK
152,MODWRK
31,AZURE
121,AZURE
132,BIZAPP
2,AZURE
118,AZURE
108,AZURE
34,AZURE
61,BIZAPP
91,MODWRK
45,AZURE
64,BIZAPP
103,BIZAPP
32,AZURE
77,MODWRK
89,MODWRK
28,AZURE
11,AZURE
0,Unknown
72,MODWRK
134,BIZAPP
39,AZURE
116,AZURE
148,MODWRK
115,AZURE
112,AZURE
143,MODWRK
125,AZURE
60,BIZAPP
79,MODWRK
95,MODWRK
130,AZURE
68,BIZAPP
62,BIZAPP
111,AZURE
44,AZURE
109,AZURE
106,AZURE
23,AZURE
63,BIZAPP
33,AZURE
129,AZURE
59,BIZAPP
5,AZURE
126,AZURE
58,AZURE
102,BIZAPP
114,AZURE
42,AZURE
74,MODWRK
100,BIZAPP
85,MODWRK
135,BIZAPP
151,AZURE
14,AZURE
84,MODWRK
19,AZURE
137,BIZAPP
41,AZURE
141,MODWRK
97,BIZAPP
26,AZURE
27,AZURE
107,AZURE
98,BIZAPP
71,MODWRK
124,AZURE
40,AZURE
73,MODWRK
87,MODWRK
36,AZURE
99,BIZAPP
94,MODWRK
96,BIZAPP
1,AZURE
138,MODWRK
29,AZURE
119,AZURE
146,MODWRK
13,AZURE
88,MODWRK
8,AZURE
133,BIZAPP
101,BIZAPP
128,AZURE
105,BIZAPP
70,BIZAPP
123,AZURE
104,BIZAPP
122,AZURE
144,MODWRK
127,AZURE
120,AZURE
117,AZURE
75,MODWRK
110,AZURE
92,MODWRK
67,BIZAPP
150,MODWRK
147,MODWRK
66,BIZAPP
131,BIZAPP
