gvkey,ticker,year,firmname,sector,industry,v6,cusip,totalassets,totaldebt,numberofemployees,totalinventory,pretaxincome,propertyplantandequitment,incometaxes,researchanddevelopmentexpenses,etrincometaxespretaxincome,leverageratiooftotaldebttototala,capitalintensityratioofpropertyp,inventoryintensityratioofinvento,firm,bvdid,primary_naics,totspending,numissue,numtax,taxratio,spending_on_tax,anylob,rateofassets
1045,AAL,2016,American Airlines Group Inc,Transports,Airlines & Air Services,AAL,02376R102,51274,24344,122.3,1094,4299,31159,1623,0,0.377529658,0.02133635,0.607695908,0.02133635,AMERICAN AIRLINES,US131502798,481111,1.11E+07,127,0,0.0944882,1045039,1,0.083843663
1045,AAL,2017,American Airlines Group Inc,Transports,Airlines & Air Services,AAL,02376R102,51396,25065,126.6,1359,3084,34156,1165,,0.377756161,0.026441746,0.664565336,0.026441746,AMERICAN AIRLINES,US131502798,481111,1.07E+07,138,0,0.1666667,1790333,1,0.06000467
1045,AAL,2018,American Airlines Group Inc,Transports,Airlines & Air Services,AAL,02376R102,60580,34029,128.9,1522,1884,43249,472,,0.250530786,0.025123803,0.713915484,0.025123803,AMERICAN AIRLINES,US131502798,481111,8929000,95,0,0.1368421,1221863,1,0.031099373
1045,AAL,2019,American Airlines Group Inc,Transports,Airlines & Air Services,AAL,02376R102,59995,33444,133.7,1851,2256,43732,570,,0.252659575,0.030852571,,0.030852571,AMERICAN AIRLINES,US131502798,481111,8682000,97,0,0.0515464,447525.8,1,0.037603134
1075,PNW,2000,Pinnacle West Capital Corp,Utilities and Telecommunications,Utilities - Electric,PNW,723484101,7149.151,0,7.2,91.371,526.184,5133.193,223.852,0,0.425425327,0.012780678,0.718014349,0.012780678,PINNACLE WEST CAPITAL CORPORATION,US860512431,2211,1000000,21,0,0.1428571,142857.2,1,0.074
1075,PNW,2001,Pinnacle West Capital Corp,Utilities and Telecommunications,Utilities - Electric,PNW,723484101,7981.748,,7.6,108.238,540.902,5907.315,213.535,,0.394775763,0.013560689,0.74010292,0.013560689,PINNACLE WEST CAPITAL CORPORATION,US860512431,2211,740000,20,0,0.1,74000,1,0.068
1075,PNW,2002,Pinnacle West Capital Corp,Utilities and Telecommunications,Utilities - Electric,PNW,723484101,8425.806,,7.2,119.837,353.253,6369.583,138.1,,0.39093794,0.014222616,0.75596127,0.014222616,PINNACLE WEST CAPITAL CORPORATION,US860512431,2211,1400000,38,0,0.0789474,110526.3,1,0.042
1075,PNW,2003,Pinnacle West Capital Corp,Utilities and Telecommunications,Utilities - Electric,PNW,723484101,9536.378,,7.2,124.466,336.136,7371.556,105.56,,0.314039555,0.013051706,0.772993269,0.013051706,PINNACLE WEST CAPITAL CORPORATION,US860512431,2211,1600000,27,0,0.0740741,118518.5,1,0.035
1075,PNW,2004,Pinnacle West Capital Corp,Utilities and Telecommunications,Utilities - Electric,PNW,723484101,9896.747,,7.2,121.845,364.075,7430.001,128.857,,0.353929822,0.012311621,0.750751838,0.012311621,PINNACLE WEST CAPITAL CORPORATION,US860512431,2211,1880000,25,0,0.08,150400,1,0.037
1075,PNW,2005,Pinnacle West Capital Corp,Utilities and Telecommunications,Utilities - Electric,PNW,723484101,11322.64,,7.3,133.394,350.055,7486.167,126.892,,0.362491609,0.01178117,0.661167687,0.01178117,PINNACLE WEST CAPITAL CORPORATION,US860512431,2211,1960000,24,1,0.0833333,163333.3,1,0.030916376
